Date,Price,Open,High,Low,Change %
Apr 22,1.0276,1.0211,1.0302,1.0088,0.66%
Mar 22,1.0209,1.0286,1.0405,0.9969,-0.72%
Feb 22,1.0283,1.0417,1.0620,1.0275,-1.24%
Jan 22,1.0412,1.0364,1.0514,1.0297,0.41%
Dec 21,1.0370,1.0419,1.0469,1.0325,-0.41%
Nov 21,1.0413,1.0596,1.0607,1.0388,-1.62%
Oct 21,1.0585,1.0791,1.0817,1.0568,-1.88%
Sep 21,1.0788,1.0805,1.0942,1.0783,-0.14%
Aug 21,1.0803,1.0744,1.0843,1.0695,0.52%
Jul 21,1.0747,1.0971,1.0990,1.0740,-1.99%
Jun 21,1.0965,1.0997,1.1005,1.0865,-0.20%
May 21,1.0987,1.0991,1.1030,1.0924,0.10%
Apr 21,1.0976,1.1069,1.1121,1.0971,-0.80%
Mar 21,1.1064,1.0972,1.1156,1.0936,0.89%
Feb 21,1.0966,1.0805,1.1100,1.0783,1.49%
Jan 21,1.0805,1.0828,1.0875,1.0737,-0.05%
Dec 20,1.0810,1.0845,1.0896,1.0734,-0.30%
Nov 20,1.0843,1.0689,1.0873,1.0655,1.55%
Oct 20,1.0677,1.0793,1.0810,1.0668,-1.05%
Sep 20,1.0790,1.0786,1.0882,1.0725,0.06%
Aug 20,1.0784,1.0757,1.0853,1.0718,0.33%
Jul 20,1.0749,1.0640,1.0841,1.0603,1.05%
Jun 20,1.0637,1.0670,1.0921,1.0623,-0.28%
May 20,1.0667,1.0581,1.0733,1.0497,0.88%
Apr 20,1.0574,1.0601,1.0617,1.0503,-0.22%
Mar 20,1.0597,1.0625,1.0711,1.0504,-0.41%
Feb 20,1.0641,1.0699,1.0730,1.0583,-0.39%
Jan 20,1.0683,1.0854,1.0879,1.0662,-1.53%
Dec 19,1.0849,1.1019,1.1041,1.0836,-1.49%
Nov 19,1.1013,1.1001,1.1036,1.0862,0.15%
Oct 19,1.0997,1.0878,1.1062,1.0849,1.13%
Sep 19,1.0874,1.0876,1.1021,1.0809,-0.04%
Aug 19,1.0878,1.1009,1.1022,1.0833,-1.15%
Jul 19,1.1005,1.1100,1.1175,1.0961,-0.81%
Jun 19,1.1095,1.1179,1.1269,1.1056,-0.84%
May 19,1.1189,1.1431,1.1444,1.1170,-2.08%
Apr 19,1.1427,1.1166,1.1480,1.1160,2.36%
Mar 19,1.1163,1.1353,1.1390,1.1161,-1.63%
Feb 19,1.1348,1.1382,1.1448,1.1307,-0.28%
Jan 19,1.1380,1.1255,1.1439,1.1181,1.10%
Dec 18,1.1256,1.1301,1.1355,1.1186,-0.39%
Nov 18,1.1300,1.1408,1.1477,1.1257,-0.91%
Oct 18,1.1404,1.1400,1.1504,1.1312,0.05%
Sep 18,1.1398,1.1234,1.1419,1.1180,1.44%
Aug 18,1.1236,1.1578,1.1605,1.1234,-2.93%
Jul 18,1.1575,1.1542,1.1718,1.1528,0.05%
Jun 18,1.1569,1.1525,1.1659,1.1478,0.40%
May 18,1.1523,1.1969,1.1984,1.1366,-3.67%
Apr 18,1.1962,1.1758,1.2009,1.1734,1.83%
Mar 18,1.1747,1.1519,1.1806,1.1494,2.02%
Feb 18,1.1514,1.1563,1.1644,1.1448,-0.45%
Jan 18,1.1566,1.1695,1.1835,1.1538,-1.04%
Dec 17,1.1688,1.1709,1.1780,1.1585,-0.14%
Nov 17,1.1704,1.1619,1.1726,1.1541,0.77%
Oct 17,1.1615,1.1442,1.1716,1.1386,1.58%
Sep 17,1.1434,1.1418,1.1626,1.1345,0.18%
Aug 17,1.1413,1.1446,1.1541,1.1257,-0.30%
Jul 17,1.1447,1.0944,1.1459,1.0921,4.60%
Jun 17,1.0944,1.0881,1.0956,1.0831,0.62%
May 17,1.0877,1.0855,1.0991,1.0790,0.33%
Apr 17,1.0841,1.0694,1.0872,1.0654,1.49%
Mar 17,1.0682,1.0637,1.0827,1.0632,0.45%
Feb 17,1.0634,1.0682,1.0721,1.0625,-0.42%
Jan 17,1.0679,1.0725,1.0763,1.0633,-0.20%
Dec 16,1.0700,1.0767,1.0905,1.0673,-0.65%
Nov 16,1.0770,1.0860,1.0879,1.0681,-0.80%
Oct 16,1.0857,1.0917,1.0982,1.0793,-0.55%
Sep 16,1.0917,1.0978,1.1006,1.0805,-0.49%
Aug 16,1.0971,1.0840,1.0995,1.0790,1.36%
Jul 16,1.0824,1.0840,1.0962,1.0786,-0.11%
Jun 16,1.0836,1.1061,1.1115,1.0616,-1.99%
May 16,1.1056,1.0972,1.1134,1.0956,0.60%
Apr 16,1.0990,1.0946,1.1026,1.0841,0.50%
Mar 16,1.0935,1.0855,1.1033,1.0813,0.79%
Feb 16,1.0849,1.1085,1.1207,1.0808,-2.08%
Jan 16,1.1080,1.0883,1.1170,1.0823,1.84%
Dec 15,1.0880,1.0870,1.0949,1.0734,0.14%
Nov 15,1.0865,1.0875,1.0933,1.0730,-0.02%
Oct 15,1.0867,1.0877,1.0989,1.0747,-0.04%
Sep 15,1.0871,1.0845,1.1059,1.0796,0.29%
Aug 15,1.0840,1.0596,1.0966,1.0587,2.19%
Jul 15,1.0608,1.0422,1.0701,1.0326,1.85%
Jun 15,1.0415,1.0330,1.0584,1.0259,0.82%
May 15,1.0330,1.0466,1.0514,1.0276,-1.26%
Apr 15,1.0462,1.0441,1.0532,1.0231,0.26%
Mar 15,1.0435,1.0670,1.0766,1.0414,-2.17%
Feb 15,1.0667,1.0394,1.0816,1.0390,2.67%
Jan 15,1.0390,1.2029,1.2047,0.8699,-13.60%
Dec 14,1.2026,1.2026,1.2099,1.1976,0.05%
Nov 14,1.2020,1.2054,1.2082,1.1985,-0.32%
Oct 14,1.2058,1.2066,1.2153,1.2036,-0.04%
Sep 14,1.2063,1.2050,1.2128,1.2028,0.04%
Aug 14,1.2058,1.2166,1.2182,1.2047,-0.86%
Jul 14,1.2163,1.2142,1.2186,1.2114,0.18%
Jun 14,1.2141,1.2212,1.2232,1.2135,-0.46%
May 14,1.2197,1.2208,1.2242,1.2148,-0.07%
Apr 14,1.2206,1.2184,1.2257,1.2138,0.21%
Mar 14,1.2180,1.2131,1.2239,1.2099,0.34%
Feb 14,1.2139,1.2230,1.2264,1.2113,-0.64%
Jan 14,1.2217,1.2276,1.2407,1.2206,-0.45%
Dec 13,1.2272,1.2316,1.2330,1.2164,-0.33%
Nov 13,1.2313,1.2316,1.2431,1.2277,0.00%
Oct 13,1.2313,1.2241,1.2383,1.2214,0.62%
Sep 13,1.2237,1.2307,1.2423,1.2206,-0.46%
Aug 13,1.2294,1.2322,1.2443,1.2269,-0.19%
Jul 13,1.2317,1.2292,1.2471,1.2277,0.23%
Jun 13,1.2289,1.2383,1.2496,1.2215,-0.97%
May 13,1.2409,1.2236,1.2655,1.2193,1.44%
Apr 13,1.2233,1.2170,1.2352,1.2125,0.55%
Mar 13,1.2166,1.2230,1.2403,1.2155,-0.56%
Feb 13,1.2235,1.2361,1.2419,1.2119,-1.00%
Jan 13,1.2359,1.2076,1.2572,1.2067,2.36%
Dec 12,1.2074,1.2049,1.2172,1.2040,0.19%
Nov 12,1.2051,1.2070,1.2102,1.2015,-0.12%
Oct 12,1.2066,1.2084,1.2168,1.2059,-0.10%
Sep 12,1.2078,1.2011,1.2191,1.1998,0.56%
Aug 12,1.2011,1.2013,1.2054,1.1985,0.02%
Jul 12,1.2009,1.2015,1.2045,1.1988,0.04%
Jun 12,1.2004,1.2010,1.2052,1.1983,-0.02%
May 12,1.2007,1.2014,1.2081,1.1968,-0.03%
Apr 12,1.2011,1.2028,1.2057,1.1995,-0.20%
Mar 12,1.2035,1.2047,1.2151,1.2026,-0.09%
Feb 12,1.2046,1.2038,1.2136,1.2026,0.11%
Jan 12,1.2033,1.2142,1.2205,1.2027,-0.82%
Dec 11,1.2133,1.2273,1.2447,1.2130,-1.17%
Nov 11,1.2277,1.2149,1.2464,1.2111,1.02%
Oct 11,1.2153,1.2135,1.2478,1.2120,0.02%
Sep 11,1.2151,1.1590,1.2347,1.0996,4.89%
Aug 11,1.1585,1.1375,1.1974,1.0092,2.49%
Jul 11,1.1303,1.2186,1.2352,1.1296,-7.24%
Jun 11,1.2185,1.2291,1.2328,1.1804,-0.81%
May 11,1.2285,1.2816,1.2950,1.2098,-4.03%
Apr 11,1.2801,1.3009,1.3241,1.2723,-1.60%
Mar 11,1.3009,1.2818,1.3046,1.2479,1.44%
Feb 11,1.2824,1.2928,1.3210,1.2705,-0.75%
Jan 11,1.2921,1.2475,1.3126,1.2410,3.41%
Dec 10,1.2495,1.3045,1.3216,1.2407,-4.14%
Nov 10,1.3034,1.3718,1.3843,1.2930,-4.87%
Oct 10,1.3701,1.3402,1.3742,1.3260,2.30%
Sep 10,1.3393,1.2874,1.3412,1.2763,4.03%
Aug 10,1.2874,1.3588,1.3927,1.2848,-5.28%
Jul 10,1.3592,1.3183,1.3825,1.3074,3.09%
Jun 10,1.3185,1.4222,1.4228,1.3166,-7.23%
May 10,1.4213,1.4340,1.4607,1.3954,-0.82%
Apr 10,1.4331,1.4245,1.4475,1.4143,0.63%
Mar 10,1.4241,1.4634,1.4656,1.4202,-2.66%
Feb 10,1.4630,1.4700,1.4814,1.4558,-0.52%
Jan 10,1.4706,1.4818,1.4900,1.4628,-0.82%
Dec 09,1.4828,1.5084,1.5146,1.4814,-1.72%
Nov 09,1.5088,1.5099,1.5159,1.5006,-0.13%
Oct 09,1.5108,1.5169,1.5215,1.5079,-0.37%
Sep 09,1.5164,1.5182,1.5250,1.5073,-0.12%
Aug 09,1.5182,1.5245,1.5371,1.5126,-0.30%
Jul 09,1.5227,1.5244,1.5354,1.5103,-0.09%
Jun 09,1.5240,1.5090,1.5391,1.5002,0.93%
May 09,1.5099,1.5097,1.5246,1.5008,0.03%
Apr 09,1.5095,1.5097,1.5305,1.5012,-0.06%
